"state","state_fips_code","county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work"
"ID",16,"Idaho County",1121,16,16275,8509,7766,14864,23,45,523,478,0,40299,3978,1938,410,154,883,195,49.5,2021,2355,4650,1679,2137,4279,359,6321,10140,536,508
"ID",16,"Boise County",277,2,6968,3678,3290,6394,14,51,286,69,0,49964,1503,757,505,239,303,63,53.2,793,841,2252,688,863,1858,177,2749,4416,268,148
"ID",16,"Boundary County",686,10,11323,5655,5668,10294,25,57,526,144,0,39512,2597,1267,311,315,835,214,43.7,1467,1728,2664,1505,1702,2593,158,4044,6912,316,143
"ID",16,"Shoshone County",924,30,12490,6245,6245,11467,36,59,430,277,2,39835,3432,1601,392,189,1192,344,47.2,1488,1962,3057,1395,1874,3292,487,4970,8298,277,330
"ID",16,"Jefferson County",2207,15,27410,13911,13499,23866,19,70,2858,86,0,58055,3585,3218,1237,430,1126,179,31.3,5514,4656,4059,5169,4588,4011,574,11898,21056,605,333
"ID",16,"Jerome County",2369,18,23039,11619,11420,14539,18,94,7944,64,7,46421,4131,2479,857,274,2133,297,32.6,3952,4272,3592,4074,3934,3666,496,10195,18478,333,200
"ID",16,"Latah County",2397,6,38697,19813,18884,34601,276,1011,1612,298,37,43310,8615,4055,1836,942,4477,2221,28.3,6061,8657,5514,5809,7478,6013,1493,19118,29098,760,2397
"ID",16,"Ada County",42863,391,435117,217999,217118,370788,5412,11098,34228,1874,389,60151,67382,54641,24217,18149,37079,11000,36.4,63848,88984,70501,60848,84628,76337,9643,214984,376908,14600,3268
"ID",16,"Bingham County",3954,55,45369,22732,22637,33576,132,427,8121,2217,26,51307,7269,5323,1604,707,2857,595,33.3,8315,7574,7465,7741,7769,7590,1065,19417,34554,904,348
"ID",16,"Gooding County",1210,22,15110,7737,7373,10296,15,71,4354,163,24,42626,3132,1714,528,176,1281,221,37.3,2340,2768,2858,2348,2366,2804,401,6886,12256,470,121
