"state","state_fips_code","county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work"
"VT",50,"Essex County",111,0,6203,3135,3068,5929,64,32,83,20,6,38767,1650,802,193,75,411,97,50,677,900,1701,603,924,1657,149,2784,4820,167,81
"VT",50,"Chittenden County",3636,78,160985,78928,82057,143657,4091,6144,3542,374,240,66906,24184,20318,11615,8789,16148,6620,36.6,20796,32947,27110,20668,32285,30864,3827,90054,148357,4783,6859
"DE",10,"Kent County",11548,187,173145,83544,89601,108627,41729,3459,11820,967,377,57647,27659,21746,8704,5272,13483,4408,37.3,24873,31121,29975,23801,33109,35761,5563,78078,145421,3270,1379
"RI",44,"Washington County",5521,122,126190,61154,65036,115206,1621,2436,3769,1047,260,77862,16334,14204,9953,9117,8510,3429,44.1,15755,20438,27238,16106,20580,30387,4142,64576,114755,3110,1725
"NH",33,"Belknap County",2496,79,60383,29705,30678,57523,285,579,951,130,65,65834,9365,8472,3886,2856,4211,1351,46.7,6834,9663,14520,6541,9882,15317,1589,30674,55288,1487,449
"RI",44,"Newport County",3578,6,83204,40952,42252,71549,2596,1670,4623,290,159,75463,12051,10443,6530,6397,10033,2525,44.6,9057,15262,18187,9040,14232,20449,2349,41471,73711,2711,2749
"VT",50,"Lamoille County",312,1,25191,12504,12687,23895,214,161,408,208,0,54899,4803,3240,1411,947,1814,720,40.5,3293,4659,5045,3317,4489,5218,526,13437,23083,906,536
"CT",9,"Tolland County",6255,125,151596,76162,75434,129519,4425,6690,7860,38,336,81312,16508,16815,10705,10850,10632,3650,37.9,21806,28436,27876,21270,26221,30288,4962,80613,137743,3821,3533
"VT",50,"Addison County",527,5,36825,18214,18611,34245,337,711,795,94,57,61875,5965,5122,2363,1251,2975,665,43.4,4747,6130,7914,4614,6228,8340,907,19872,31572,1811,1466
"VT",50,"Caledonia County",307,4,30576,15366,15210,29070,272,186,460,65,9,47371,6387,3736,1339,632,2290,645,43.7,4099,5144,6640,3647,4865,7125,741,14475,24724,1106,535
"MA",25,"Nantucket County",990,2,10912,5804,5108,8050,873,260,943,64,32,91942,936,1043,842,940,944,217,39.8,1349,2489,2154,1194,1962,2137,251,6408,9593,333,764
"MA",25,"Plymouth County",32246,1104,509114,247788,261326,416813,44804,6218,18664,502,11729,82081,57107,52356,36945,37787,30543,10878,42.6,67880,87565,100105,64428,89932,115448,16789,261653,468524,11419,3669
"MA",25,"Barnstable County",7499,303,213900,102152,111748,192917,5699,3111,5869,918,1515,68048,35223,30327,16605,12856,13302,4923,52.4,20599,29932,56397,18974,30117,68546,6012,104246,182500,6445,2562
"NH",33,"Cheshire County",1987,9,76109,37199,38910,71930,506,970,1302,125,56,60148,12742,10522,4510,2755,6420,2090,42.5,9223,13283,15797,9733,12812,17522,1883,40037,67266,3734,1329
"MA",25,"Berkshire County",4081,187,127751,61741,66010,113686,3280,2088,5461,253,323,55190,25296,16342,7880,5545,12151,3639,46.5,14410,20628,29164,14224,20783,33658,4701,63947,108956,3486,3730
"MA",25,"Franklin County",1615,95,70926,34663,36263,64668,879,1051,2669,132,73,57307,13424,9972,4213,2903,6225,2428,45.9,7878,12096,16211,7188,12202,17959,2281,36953,63710,2399,1524
"NH",33,"Grafton County",1614,10,89280,43952,45328,81439,901,2998,1984,370,29,61036,14465,11195,4681,4515,8261,2071,42.9,10856,15461,19129,10428,15594,20807,1934,45847,74492,2356,3440
"NH",33,"Carroll County",1268,4,47524,23734,23790,45668,233,279,649,37,10,58139,8991,7056,3115,2041,2861,1007,51.4,4826,6882,13283,4236,6855,13544,1146,23324,40651,1398,503
"CT",9,"Litchfield County",9191,244,184454,91198,93256,164992,2843,3516,10510,267,166,76438,23580,24136,14550,12339,12173,3724,46.9,21234,30482,42876,19746,30052,46593,6295,98166,174424,5108,2292
"VT",50,"Grand Isle County",78,0,6950,3432,3518,6479,13,33,124,50,8,66111,1016,1151,452,333,377,141,48.1,743,1079,1759,708,1133,1768,195,3766,6519,344,54
"MA",25,"Dukes County",676,0,17275,8282,8993,15021,645,53,280,271,213,67535,2264,1701,1136,1038,954,162,45.9,1872,2776,4058,1967,2850,4360,282,9172,14172,705,451
"VT",50,"Orleans County",326,5,26951,13534,13417,25734,115,90,367,146,36,45664,6122,3666,1093,617,1622,624,45.4,3145,4597,6391,3106,4242,6585,558,12227,21050,948,365
"VT",50,"Bennington County",784,3,36054,17689,18365,34160,289,140,632,31,18,52251,7287,4814,1742,1437,3098,790,46.6,4501,5503,8367,3914,5796,9381,804,17605,29009,1357,834
"NH",33,"Merrimack County",6092,92,147958,72864,75094,137801,1740,2628,2936,123,105,69856,20208,19283,10068,7688,11984,3627,42.8,18420,26705,29882,17420,26158,33722,3239,77527,136933,5037,1939
"VT",50,"Windham County",709,9,43332,21172,22160,40499,343,441,948,46,12,50831,9363,6108,2169,1419,4142,1557,46.8,4971,6949,10017,4564,7071,11203,1300,21882,34205,2578,1143
"NH",33,"Strafford County",4917,47,126552,61938,64614,115654,1041,4041,2792,59,85,67805,18218,15954,8304,6067,12256,3880,37,17019,24313,22121,17330,24318,24579,3189,69103,117598,2543,3146
"NH",33,"Sullivan County",855,8,43073,21263,21810,41105,184,266,620,145,2,59419,7505,6356,2655,1264,3484,894,46.1,4879,7332,9915,4740,7061,10794,837,21646,38503,1009,665
"RI",44,"Bristol County",3251,78,49028,23625,25403,45446,617,980,1336,16,17,74630,6692,5502,3341,3986,4271,1415,44.1,6252,7982,10127,6201,7993,12156,1105,25027,43298,1284,971
"CT",9,"Middlesex County",8497,298,164110,80227,83883,138523,8046,4780,9612,156,331,81673,20175,19256,13245,13923,12263,3720,45.1,19254,28347,35643,18163,28497,39536,4715,88344,156594,4876,2481
"VT",50,"Washington County",1042,11,58691,28997,29694,55387,468,379,1087,155,38,60602,10203,8436,3811,2269,5023,1441,43.5,7409,10224,12257,6634,10247,13806,1300,31703,53080,2248,1894
"VT",50,"Windsor County",743,4,55485,27171,28314,52696,393,443,833,84,67,56828,10556,8046,3119,2400,4695,1550,47.4,6074,8897,13245,5763,8907,14831,1315,28099,48945,1434,1132
"NH",33,"Rockingham County",14289,164,302479,149778,152701,281776,1983,5808,8054,314,182,85619,31733,37191,25194,25837,21176,5382,44.1,36267,54351,63680,34435,54032,68746,7729,170757,303583,11038,2829
"CT",9,"Windham County",7402,109,116674,57906,58768,97434,2110,1519,12946,26,79,62553,17701,14776,7749,4303,9539,3185,41,15075,22000,22386,14526,21064,24663,4857,59022,104269,2305,1690
"CT",9,"New London County",15086,325,270772,135581,135191,206261,14093,11128,27186,1221,375,69411,37096,35213,18465,16419,25867,7513,41,33947,52103,53580,31503,48356,59698,10006,133786,249464,6652,4950
"VT",50,"Orange County",392,1,28901,14358,14543,27649,188,95,386,117,16,56584,5388,4284,1698,905,1647,493,45.7,3550,4684,6650,3039,4874,7209,682,15343,25898,1243,574
"NH",33,"Coos County",983,21,32119,16923,15196,30058,739,182,549,137,11,45386,7528,4178,1504,669,2854,803,48,3364,6092,8204,2937,4635,8214,957,14728,25681,816,455
"VT",50,"Rutland County",673,9,59676,29275,30401,57018,445,632,817,206,39,52635,12023,8700,2891,1546,4891,1694,46.4,7025,9668,13819,6581,9538,15478,1479,30152,52377,1543,1502
"MA",25,"Hampden County",33547,1138,469188,226391,242797,300617,36646,10126,112302,622,827,52205,85994,51111,24979,16847,46859,19288,38.7,64779,84012,83447,61587,88655,99467,18630,215324,389792,7528,6389
"MA",25,"Essex County",71834,1862,775860,373886,401974,558478,23782,26448,152189,619,2169,73533,103455,82527,48677,57000,73461,26736,40.8,102432,138674,143876,98504,144337,170050,25451,397621,681131,22324,12777
"MA",25,"Bristol County",45439,1242,557016,269719,287297,461175,19353,12214,40913,175,9525,62514,89920,62230,35342,28411,58192,18162,40.9,71112,103237,102807,68579,106459,120356,20762,278538,503124,9349,6871
"RI",44,"Kent County",11802,227,164012,79338,84674,146824,2191,4078,7165,139,411,69047,25287,21732,13257,8737,14794,4359,43.7,18823,29992,32985,17608,30249,39121,5743,87822,162986,2471,803
"VT",50,"Franklin County",673,33,48816,24251,24565,45986,302,151,701,256,190,62214,7071,6894,3139,1545,3557,868,39.9,6665,8912,9373,6121,9055,10078,1186,25865,45721,1236,816
"DE",10,"Sussex County",18844,320,215551,104514,111037,161347,26144,2546,19860,758,432,57901,37150,29125,11666,8381,12322,3383,48.3,24233,32243,53294,23549,32385,59703,6114,94271,169146,5196,1523
"MA",25,"Middlesex County",93861,2969,1582857,773112,809745,1160650,76708,176740,121171,1711,8720,92878,165161,150773,112873,164977,163648,47061,38.5,198033,323380,269934,190563,325476,315172,43396,862873,1456975,47044,42104
"CT",9,"Hartford County",58705,2017,897417,435729,461688,560997,114711,45178,154977,1338,2400,69936,128832,101405,59052,59582,85054,30542,40.4,116124,167510,164067,111324,168255,195442,35391,445468,810931,17428,8964
"DE",10,"New Castle County",40753,514,555036,268818,286218,324937,133538,30089,53113,1162,1022,68336,75692,62252,33316,31394,44927,14025,37.8,73803,107271,94032,73203,109282,111561,18568,269164,485929,11160,6342
"HI",15,"Hawaii County",2088,45,196325,97677,98648,59540,1105,42130,24523,400,187,56395,30238,20871,9837,6108,13429,5117,42.1,24989,33516,43577,24152,33315,43742,6225,84962,145120,6963,1793
"MA",25,"Worcester County",54092,1729,818249,403587,414662,637093,35449,38306,88475,1280,2646,69313,113562,88663,54855,48895,77073,23906,40.1,109594,154478,149746,104098,154282,166837,26692,413989,733226,20630,10787
"HI",15,"Kauai County",175,1,71093,35337,35756,21059,476,23389,7654,245,49,72330,8138,6801,4599,3025,6019,1365,42.1,9244,12548,14635,8509,12448,15821,1651,35783,62908,2155,1002
"MA",25,"Hampshire County",5081,220,161197,75492,85705,135791,4465,8517,8634,169,234,64974,23282,17496,10143,7861,12987,5311,36.1,21048,28469,28443,24489,30346,32972,5831,84348,133116,6087,7494
"HI",15,"Maui County",1618,20,164094,81933,82161,50064,819,46732,18130,198,424,72762,18491,17571,9707,8612,15504,4642,40.9,21317,30630,32976,20072,30138,33868,4348,83785,146374,4592,2027
"NH",33,"Hillsborough County",23111,503,406371,201775,204596,348156,8555,15297,25429,410,979,75777,51591,48993,30700,26855,40244,11699,40.5,52086,78170,76929,49226,76952,83845,11063,219781,390282,13057,4652
"HI",15,"Honolulu County",20018,255,990060,498993,491067,185366,21577,413923,95070,933,812,80078,92292,98025,61633,59501,90257,38989,37.6,129112,209417,173793,119140,189371,196693,22156,467165,860187,18176,26820
"MA",25,"Suffolk County",66066,1490,780685,377572,403113,355132,157381,67210,173707,1531,7338,61242,130600,76019,45781,51276,134383,48850,32.6,90459,190746,103175,93215,193497,125063,32554,423215,657766,12879,54964
"CT",9,"Fairfield County",67617,1853,947328,461380,485948,595323,98931,48421,180379,1372,5596,89773,101417,82402,55715,98144,72157,30371,40.2,131105,172906,169012,125765,176434,197311,39109,474458,806270,27260,12176
"MA",25,"Norfolk County",35740,1400,694389,333237,361152,532276,43719,71819,28900,610,3189,95668,69146,67153,51412,74613,58875,17491,41,88995,125715,127546,85761,134293,151431,21224,367385,628770,17627,13117
"RI",44,"Providence County",67526,1476,633704,307512,326192,394363,50835,25863,137017,2412,6354,52530,113627,69122,31751,23965,78791,26128,37.3,83790,125697,105517,81611,126691,125975,25295,307175,537861,10281,13099
"CT",9,"New Haven County",58627,1706,862127,415863,446264,553000,105661,33678,148446,783,2332,64872,128737,94813,52917,50935,81397,33193,40.1,111364,158747,157291,107584,164320,187015,35377,425229,755781,17706,14973
"DC",11,"Washington",34259,861,672391,319046,353345,241901,315159,25063,71829,1140,2194,77649,99233,66176,44399,68177,114463,37889,33.9,74773,159761,90869,76434,173684,111620,31279,357701,528840,20167,46967
"HI",15,"Kalawao County",0,0,86,41,45,18,0,25,4,0,0,61750,17,23,9,4,26,2,57.6,1,15,25,4,11,31,0,63,54,4,26
"AK",2,"Bristol Bay Borough",0,0,917,532,385,461,4,13,41,315,0,79500,104,117,83,54,111,6,41.8,114,196,235,108,140,145,37,508,768,16,90
"AK",2,"Yukon-Koyukuk Census Area",254,4,5453,2936,2517,1164,5,40,117,3841,0,37819,1183,513,168,95,250,66,34.7,884,1027,1131,838,851,870,510,2082,1328,161,800
"AK",2,"Skagway Municipality",15,0,1038,594,444,816,2,42,71,55,5,70673,124,175,91,33,162,11,42.9,79,301,231,80,193,181,60,701,659,44,251
"AK",2,"Hoonah-Angoon Census Area",50,1,2146,1123,1023,935,59,58,117,800,0,57900,332,275,113,82,138,29,48.9,161,414,592,236,284,518,138,1039,997,102,320
"AK",2,"Northwest Arctic Borough",510,0,7715,4168,3547,856,42,68,196,6297,0,61533,774,517,285,273,547,52,26.6,1550,1679,998,1479,1290,837,669,2654,1499,127,1141
"AK",2,"Haines Borough",15,0,2537,1323,1214,2003,1,100,71,190,0,70640,429,310,198,150,258,26,45,342,399,637,297,375,559,40,1437,1842,183,125
"AK",2,"City and Borough of Juneau",975,3,32434,16663,15771,21214,330,2176,2067,3500,137,90749,2737,4021,3239,2276,3482,598,38,4335,6689,6045,3954,6410,5650,906,17970,30505,756,1134
"AK",2,"Aleutians West Census Area",110,0,5784,3539,2245,1435,291,2182,780,665,11,85192,284,441,257,236,390,38,37.7,618,1892,1058,604,962,700,77,3961,4320,28,1649
"AK",2,"Nome Census Area",293,0,9869,5250,4619,1466,75,137,234,7207,0,53821,1351,906,369,271,700,172,27.9,1965,1997,1361,1829,1742,1095,724,3639,2609,160,1301
"AK",2,"Aleutians East Borough",29,0,3338,2049,1289,516,160,871,324,1249,0,66607,299,280,129,104,157,42,42.7,317,1028,754,236,548,519,59,2405,1540,126,1414
"AK",2,"Wrangell City and Borough",18,0,2475,1280,1195,1595,4,77,78,510,0,56094,466,370,189,59,266,44,49.1,298,357,664,253,386,636,83,1095,1422,86,161
"AK",2,"Denali Borough",58,0,2303,1168,1135,1905,4,109,17,50,5,83295,196,210,193,79,104,11,38.4,276,462,463,219,532,408,29,1529,1362,126,714
"AK",2,"Fairbanks North Star Borough",5504,24,100031,53967,46064,71100,4006,2999,7714,6286,114,76250,11292,12358,6764,5982,10930,3020,31,15555,25168,14368,13475,19974,13207,4047,46725,94220,1397,2117
"AK",2,"Sitka City and Borough",270,0,8810,4520,4290,5498,85,590,555,1158,0,70765,1098,1377,662,408,1044,273,38.9,1220,1752,1641,1068,1612,1693,247,4702,6956,194,725
"AK",2,"Matanuska-Susitna Borough",7117,18,101135,52767,48368,80824,1033,1311,4666,5041,232,74887,10271,9663,6177,4502,4798,1621,34.9,16292,20672,16919,15040,18457,15625,4646,42695,70749,2663,854
"AK",2,"Yakutat City and Borough",0,0,682,366,316,298,6,37,38,193,0,64583,97,100,42,16,71,6,39.4,72,137,175,96,121,106,26,377,456,15,96
"AK",2,"Kusilvak Census Area",1017,3,8129,4342,3787,307,35,41,132,7282,2,36468,1154,424,120,54,184,22,24,1908,1640,844,1751,1334,743,858,2125,340,64,942
"AK",2,"Prince of Wales-Hyder Census Area",67,1,6473,3509,2964,2931,10,74,238,2579,4,52114,1100,706,329,180,428,76,41,927,1199,1479,828,1029,1170,433,2780,3473,128,499
"AK",2,"Southeast Fairbanks Census Area",382,3,6889,3813,3076,5162,99,132,356,794,0,63866,805,758,348,228,401,84,36.6,1083,1427,1423,1077,1031,1031,420,2941,4348,305,352
"AK",2,"Petersburg Census Area",38,0,3275,1724,1551,2199,19,220,346,216,2,63490,482,411,196,166,281,82,41.7,433,640,710,425,517,644,82,1644,2122,77,346
"AK",2,"Bethel Census Area",3014,12,17957,9435,8522,1826,120,165,393,14729,0,53853,2117,1350,624,433,1068,127,26.9,3780,3529,2262,3465,3177,1957,1456,6075,4521,240,1792
"AK",2,"Ketchikan Gateway Borough",242,1,13745,7065,6680,8854,75,1066,655,1860,58,67321,1907,1778,880,705,1451,439,39.5,1821,2651,2789,1745,2468,2589,521,6899,11615,182,566
"AK",2,"Valdez-Cordova Census Area",346,2,9439,4901,4538,6628,13,267,453,1253,3,86019,758,934,579,578,563,71,40,1156,1899,1971,1299,1731,1590,384,4755,7521,187,782
"AK",2,"Dillingham Census Area",130,1,4974,2585,2389,808,22,75,155,3579,0,58708,613,437,219,136,322,44,30.1,890,951,788,887,893,651,256,1989,2202,118,457
"AK",2,"Kodiak Island Borough",955,2,13773,7370,6403,6901,23,3044,1219,1744,32,74167,1382,1465,1083,608,1095,439,33.1,2342,2976,2248,1951,2711,1838,396,7010,11344,419,577
"AK",2,"North Slope Borough",927,3,9757,6097,3660,3052,53,542,401,4971,0,77266,681,578,392,390,672,111,34.6,1522,2558,2092,1250,1398,1076,565,5412,4500,121,2634
"AK",2,"Kenai Peninsula Borough",3615,15,57961,30261,27700,46943,300,863,2293,4127,91,65279,8143,7008,3926,2702,4536,1059,40.6,7924,10707,12799,7409,9507,11248,2397,25564,39264,1834,1294
"AK",2,"Municipality of Anchorage",24191,127,298225,152311,145914,176518,15649,27383,26415,20345,698,82271,28946,34181,21981,20904,32249,8413,33.1,44281,67016,44080,41248,61789,45064,9394,152751,281417,5972,5377
"AK",2,"Lake and Peninsula Borough",98,0,1301,661,640,283,9,28,20,868,2,45208,224,116,41,27,82,3,32.3,190,260,223,219,259,172,88,581,338,19,204
"AL",1,"Bibb County",2170,47,22580,12251,10329,16849,4959,0,531,82,0,43404,3879,1922,769,346,1086,342,39.8,3211,5152,4194,2581,3744,4409,728,8171,15491,118,21
"AL",1,"Lamar County",1184,19,14021,6875,7146,12061,1520,0,212,45,100,36016,3817,1525,469,208,944,211,44.5,1841,2246,3051,1684,2292,3557,459,5376,10494,52,13
"AL",1,"Henry County",1550,21,17110,8208,8902,11757,4762,0,435,5,0,45569,3732,1924,666,405,768,185,43.5,2123,2793,3616,1948,2998,4309,496,6949,12826,176,48
"AL",1,"Marengo County",2008,29,19743,9235,10508,8909,10689,0,88,11,9,32255,5188,1788,593,406,1231,349,42.1,2565,3150,3754,2881,3371,4695,975,6645,12252,184,81
"AL",1,"Lowndes County",1115,35,10362,4896,5466,2515,7708,0,71,9,0,29785,3010,914,285,100,470,197,40.7,1398,1649,1948,1313,1932,2460,446,3533,6568,60,11
"AL",1,"Coosa County",605,15,10955,5474,5481,7150,3640,0,16,8,0,34792,2793,1047,145,219,494,72,45.9,1226,1814,2705,1145,1770,2724,498,3897,7018,158,62
"AL",1,"Greene County",762,23,8533,4058,4475,1459,6851,0,101,54,0,20954,2313,535,106,71,467,174,42,1139,1355,1618,1134,1289,2259,419,2411,4460,99,27
"AL",1,"Conecuh County",951,20,12649,6040,6609,6362,5855,4,231,21,2,30434,3385,1023,240,68,603,167,44.5,1602,1902,2763,1677,2018,3177,669,3945,7552,68,30
"AL",1,"Clay County",1270,45,13407,6471,6936,10753,1972,6,417,115,23,37287,3352,1366,441,179,859,64,43.8,1803,2020,2828,1692,2275,3223,379,5509,10108,164,153
"AL",1,"Choctaw County",515,24,13188,6277,6911,7420,5553,8,71,4,2,32122,3542,1308,366,247,611,172,45.8,1585,2043,2898,1575,2168,3471,468,4301,8080,67,74
"AL",1,"Pickens County",1969,31,20170,9601,10569,10914,8162,13,826,22,9,36220,4854,1837,707,222,1089,354,42.1,2575,3364,3960,2418,3765,4675,958,6903,12748,273,106
"AL",1,"Lawrence County",2452,47,33288,16164,17124,25492,3801,18,701,1730,0,43779,7208,3964,1370,514,1548,349,42,4128,5948,6700,4131,6001,7541,972,12476,23632,305,116
"AL",1,"Perry County",982,18,9680,4630,5050,2843,6735,23,67,7,5,22973,2411,405,162,61,293,84,37.6,1713,1277,1741,1395,1612,2219,332,2478,4562,4,48
"AL",1,"Hale County",1774,42,14995,7049,7946,5925,8795,26,196,25,21,34679,3617,1436,340,271,580,248,39.8,2044,2262,3005,2127,2510,3526,697,5252,9916,100,16
"AL",1,"Randolph County",1415,35,22530,10998,11532,16955,4381,36,665,48,14,39485,5374,2630,579,284,1232,457,42.7,2956,3806,4639,2924,3642,5498,530,8565,15910,332,32
"AL",1,"Macon County",1168,35,19358,8933,10425,2992,15772,38,315,43,67,32308,5247,1757,543,305,1420,621,38,2590,3115,3563,2839,3455,4405,1251,7348,13040,117,442
"AL",1,"Blount County",5320,83,57667,28490,29177,50381,879,84,5197,193,126,47412,10827,6868,2008,987,2702,593,40.9,7853,10471,11086,7741,10092,12372,1091,21380,41210,441,93
"AL",1,"Marion County",2473,50,30058,14880,15178,27637,963,96,741,128,0,35719,8002,2898,1118,435,1964,480,44.1,3963,5041,6475,3499,5089,7192,691,11899,22200,283,62
"AL",1,"Monroe County",1473,17,21745,10355,11390,11842,8874,116,286,274,0,26036,5799,1571,559,278,892,420,41.7,2962,3386,4401,2858,3822,5084,1691,6154,11597,164,75
"AL",1,"Barbour County",1738,36,26201,13976,12225,11985,12528,152,1104,46,176,33368,6157,2128,751,155,2108,727,39.7,3346,6041,4924,3091,3973,5614,1261,8878,16460,115,188
"AL",1,"Tallapoosa County",2630,107,40756,19616,21140,28081,11072,160,968,176,0,42181,9257,4923,1510,679,2746,1032,43.3,5137,6412,8804,5119,6851,9736,1547,15317,28800,439,132
"AL",1,"DeKalb County",7715,97,71194,35328,35866,57507,1009,208,10178,876,8,38842,15405,7296,1891,890,4477,1046,39,10614,12983,12867,9641,12835,14661,1529,28416,54164,598,252
"AL",1,"Butler County",1707,58,20126,9416,10710,10515,8998,224,64,13,14,36326,4502,1833,537,178,1319,303,40.7,2704,3278,3726,2578,3644,4945,640,7727,14666,151,67
"AL",1,"Russell County",3359,10,58480,28424,30056,27955,24769,384,3050,209,57,38988,13593,6447,1743,907,6378,2101,35.3,8664,11386,9019,7994,11842,11000,2465,22959,45036,675,325
"AL",1,"Dale County",3997,81,49393,24524,24869,34306,9485,448,2994,241,189,44711,10467,5509,1949,900,5160,1598,37.1,6868,9686,8592,6531,9075,10221,2097,17988,38128,439,421
"AL",1,"Shelby County",18693,114,208721,101420,107301,163877,24443,3973,12045,458,385,74063,25273,25223,14646,11726,12024,2438,38.5,29473,39398,35416,28676,41215,40267,4650,104093,192344,5083,715
"AL",1,"Etowah County",11805,168,103132,49738,53394,80750,15847,706,3794,503,86,42064,22254,11607,3588,1612,7447,1760,40.9,13370,18178,19888,12981,18938,23289,3406,41412,76151,1780,256
"AL",1,"Walker County",5930,174,64927,31709,33218,58038,3902,306,1531,45,3,38872,15118,6937,2186,902,3464,1358,42.3,8448,11416,12769,8160,11263,15111,2701,24280,46092,339,268
"AL",1,"Autauga County",5227,55,55036,26899,28137,41509,10419,516,1467,169,43,55317,9521,6693,3357,1483,3486,1478,37.8,8105,10404,8981,7574,10633,10739,1324,24112,46508,601,145
"AL",1,"Chambers County",2886,69,33895,16320,17575,19045,13335,339,730,95,17,37342,8561,3771,1008,354,3094,743,43,4216,5980,6747,4056,6049,8034,994,14527,27610,280,88
"AL",1,"Bullock County",997,28,10478,5616,4862,2264,7925,73,35,110,2,29655,2490,873,241,66,562,417,40.8,1269,2454,2011,1231,1722,2067,592,4290,7640,130,265
"AL",1,"Cleburne County",1184,23,14939,7367,7572,13842,424,81,356,43,8,37396,3477,1582,493,221,932,161,41.7,2040,2633,2939,1861,2652,3235,489,5743,10534,146,49
"AL",1,"Franklin County",3681,48,31507,15818,15689,24474,1471,117,5146,52,14,39501,7109,3274,746,404,2458,340,37.7,4787,6021,5457,4317,5476,6423,1114,12534,23716,231,28
"AL",1,"Covington County",3301,68,37519,18133,19386,31320,4879,154,586,124,0,39467,9044,4278,1306,657,2355,605,43.4,4833,6109,7765,4573,6272,9482,1759,14686,27770,276,159
"AL",1,"Crenshaw County",1202,44,13866,6786,7080,9872,3209,194,253,108,2,38937,3299,1340,531,188,949,201,41.4,1982,2236,2852,1768,2366,3169,389,5700,10494,226,95
"AL",1,"Houston County",8681,148,104108,49905,54203,69963,27576,874,3366,322,95,42803,22273,11019,3817,2451,9531,3054,39.6,14448,18210,18872,13434,20008,22577,3642,44108,83806,999,304
"AL",1,"Morgan County",12321,113,119157,58761,60396,91006,14692,779,9485,641,87,47529,23961,14174,4984,2785,8851,2622,40.1,16239,22038,22270,15187,21645,25273,3496,50611,96337,737,374
"AL",1,"Chilton County",3378,65,43805,21554,22251,35207,4154,187,3371,175,39,43501,9355,4989,1643,781,2710,752,38.9,6124,8141,7742,5910,8134,8924,1271,17675,33342,300,109
"AL",1,"St. Clair County",7599,120,86937,43469,43468,74972,8084,684,2003,215,0,53483,14870,11775,4027,1814,4600,935,40.1,11790,16921,15891,10588,16397,17727,2354,38522,72220,1108,217
"AL",1,"Tuscaloosa County",20835,267,204424,98725,105699,127567,63839,3120,7128,250,235,50513,35333,22156,8797,5221,16960,6945,32.3,29175,42244,29581,31103,41952,34788,6570,90941,169671,2768,1323
"AL",1,"Mobile County",30551,554,414328,197968,216360,238405,145960,8060,11416,2467,794,45802,81935,44922,17157,9780,32701,13028,37.3,58485,73945,70884,56980,80509,85043,13977,173195,321300,7097,1947
"AL",1,"Cherokee County",1609,30,25855,12862,12993,23731,1287,33,409,125,0,40041,6388,2993,969,445,1408,443,46.1,3038,4216,6299,2964,4095,6452,557,9879,18962,196,29
"AL",1,"Winston County",2290,35,23968,11850,12118,22556,124,70,717,65,0,35362,6003,2562,619,255,1136,285,44.6,2871,4107,5375,2968,3759,5871,925,8902,16120,199,62
"AL",1,"Fayette County",1712,26,16657,8191,8466,14163,1917,78,277,0,0,36541,4345,1913,421,276,1030,311,43.6,2253,2742,3400,1909,2896,3998,576,6307,11882,150,79
"AL",1,"Geneva County",2033,35,26572,13008,13564,22318,2440,106,1004,162,0,39293,6466,3018,910,299,1783,382,42.7,3510,4473,5546,3283,4623,6159,1011,10306,19160,317,60
"AL",1,"Sumter County",895,26,13084,6033,7051,3217,9256,392,34,68,55,21663,3788,963,268,54,872,482,35.9,1936,2021,2246,1765,2532,2962,672,4353,8052,77,132
"AL",1,"Cullman County",8094,105,81703,40223,41480,75434,900,528,3466,350,63,40997,18192,8592,2920,1393,4969,1177,40.6,10936,14716,15643,10243,14563,18036,1962,32072,61148,640,198
"AL",1,"Montgomery County",19192,305,227120,107470,119650,79926,129745,5517,7628,296,188,46545,47545,24852,10330,7049,23428,10558,35.9,32267,42726,35319,31383,46601,45252,8343,100874,188998,3386,1402
"AL",1,"Lauderdale County",7631,83,92590,44263,48327,78605,9103,626,2285,339,189,44888,21405,11370,3777,2082,8197,2085,41.5,11670,16188,17786,11892,16540,21917,2798,39857,75252,705,659
"AL",1,"Coffee County",4462,56,51073,25225,25848,36261,8755,659,3402,528,6,49821,9839,5823,2699,1259,4716,1266,39.3,7132,9674,9162,6633,9495,10724,1391,21639,42010,616,227
"AL",1,"Escambia County",3213,42,37621,19326,18295,22661,12107,149,809,1368,46,35026,8557,3177,1017,475,2354,656,39.6,4957,7813,7039,5024,5987,7997,1930,12134,23434,99,31
"AL",1,"Marshall County",10236,107,94738,46771,47967,77467,2084,534,12600,439,51,41104,20284,9062,3454,1788,6696,1970,38.8,13792,17297,17316,12792,16935,19928,2684,38456,72534,906,505
"AL",1,"Clarke County",2831,33,24625,11649,12976,13057,11246,127,58,14,0,33827,6123,2071,987,421,1395,430,42.2,3106,4081,4804,3351,4345,5702,1424,7933,14924,69,58
"AL",1,"Jackson County",5837,41,52326,25712,26614,46738,1699,238,1493,516,129,39281,12568,5417,1767,616,3101,759,43,7007,8817,10943,6117,9206,12253,1699,20261,38162,463,259
